playerid,namefirst,namelast,sackposition,sacktype,sackyards,sackend
20030018,Calvin,Pace,LB,0.5,-6,in bounds
20060134,Kyle,Williams,DT,1,0,in bounds
20130013,Sheldon,Richardson,DL,0.5,-8,in bounds
20120016,Quinton,Coples,LB,1,-6,in bounds
20060134,Kyle,Williams,DT,1,-10,in bounds
20100029,Kyle,Wilson,CB,1,-5,in bounds
20110847,Corbin,Bryant,DT,1,-4,in bounds
20090182,Jarius,Wynn,DE,1,-7,in bounds
20140051,Ego,Ferguson,DT,1,-13,in bounds
20070047,David,Harris,LB,1,-10,in bounds
20110053,Stephen,Paea,DT,1,-1,in bounds
20110030,Muhammad,Wilkerson,DL,1,-8,in bounds
20130013,Sheldon,Richardson,DL,1,-6,in bounds
20110030,Muhammad,Wilkerson,DL,0.5,-4,in bounds
20100213,Willie,Young,DE,1,-2,in bounds
20110030,Muhammad,Wilkerson,DL,1,-9,in bounds
20080499,Leger,Douzable,DL,1,-7,in bounds
20050011,DeMarcus,Ware,DE,1,-4,in bounds
20110002,Von,Miller,LB,1,-6,in bounds
20140031,Bradley,Roby,CB,1,-3,in bounds
20110002,Von,Miller,LB,1,-4,in bounds
20130013,Sheldon,Richardson,DL,1,-9,in bounds
20110030,Muhammad,Wilkerson,DL,1,-8,in bounds
20110013,Nick,Fairley,DT,1,-2,in bounds
20140018,Calvin,Pryor,S,0.5,-3,in bounds
20060146,Dawan,Landry,S,0.5,-1,in bounds
20070737,James,Ihedigbo,S,1,-3,in bounds
20070047,David,Harris,LB,1,-8,in bounds
20120237,Cam,Johnson,OLB,1,-8,in bounds
20130550,T.J.,Barnes,NT,1,-7,in bounds
20130552,Marcus,Burley,CB,1,-4,in bounds
20140210,IK,Enemkpali,LB,1,-5,in bounds
20110094,Kenrick,Ellis,DT,1,-8,in bounds
20070047,David,Harris,LB,1,-10,in bounds
20050454,Cameron,Wake,DE,1,-8,in bounds
20100040,Koa,Misi,LB,1,-8,in bounds
20030018,Calvin,Pace,LB,0.5,-13,in bounds
20110030,Muhammad,Wilkerson,DL,0.5,-8,in bounds
20120242,Antonio,Allen,S,0.5,-8,in bounds
20130013,Sheldon,Richardson,DL,0.5,-7,in bounds
20110490,Sealver,Siliga,DT,1,-9,in bounds
20120025,Dont'a,Hightower,LB,1,-10,in bounds
20060032,Mathias,Kiwanuka,DE,1,-4,in bounds
20040027,Jason,Babin,LB,1,-8,in bounds
20110030,Muhammad,Wilkerson,DL,1,-14,in bounds
