playerid,namefirst,namelast,intposition,int,intyards,inttd
20030207,Frank,Walker,CB,1,10,0
19940424,Brent,Alexander,S,1,2,0
19930162,Willie,Williams,CB,1,0,0
20000055,Fred,Robbins,DT,1,13,0
19940424,Brent,Alexander,S,1,0,0
20040136,Gibril,Wilson,S,1,0,0
19940424,Brent,Alexander,S,1,1,0
20020024,Ed,Reed,S,1,78,0
19970470,Jeff,Posey,LB,1,3,0
19920005,Terrell,Buckley,CB,1,12,0
20040143,Erik,Coleman,S,1,4,0
20040010,Dunta,Robinson,CB,1,20,0
20000102,David,Barrett,CB,1,0,0
20040143,Erik,Coleman,S,1,37,0
20020057,Jon,McGraw,FS,1,0,0
19920005,Terrell,Buckley,CB,1,0,0
19960086,Tedy,Bruschi,LB,1,36,0
20030036,Eugene,Wilson,DB,1,24,0
19960071,Donnie,Abraham,CB,1,2,0
19960058,Reggie,Tongue,SS,1,11,0
20040460,Brandon,Haw,CB,1,2,0
20040623,Roderick,Bryant,CB,1,6,0
19990146,Eric,Barton,LB,1,7,0
20040012,Jonathan,Vilma,LB,1,14,0
19930065,Ray,Buchanan,CB,1,27,0
20020092,Marques,Anderson,S,1,23,0
19990464,Kelly,Herndon,CB,1,2,0
20030039,Rashean,Mathis,CB,1,0,0
19980025,Donovin,Darius,S,1,0,0
20010572,Tim,Johnson,LB,1,8,0
19980025,Donovin,Darius,S,1,37,0
19980004,Charles,Woodson,CB,1,25,0
19980022,Tebucky,Jones,FS,1,55,0
20010572,Tim,Johnson,LB,1,0,0
20010572,Tim,Johnson,LB,1,0,0
20020017,Phillip,Buchanon,CB,1,32,1
19980045,Brian,Kelly,CB,1,16,0
19970075,Denard,Walker,CB,1,45,0
20000030,Keith,Bulluck,LB,1,0,0
20020059,Sheldon,Brown,CB,1,28,0
19960061,Brian,Dawkins,FS,1,19,0
20020024,Ed,Reed,S,1,27,0
19980142,Ike,Reese,LB,1,24,0
19980072,Jeremiah,Trotter,LB,1,11,0
20040455,Jon,Bradley,DT,1,27,0
20020058,Michael,Lewis,SS,1,0,0
20000177,Dhani,Jones,LB,1,0,0
20030529,Roderick,Hood,CB,1,20,0
20020026,Lito,Sheppard,CB,1,64,1
20030082,Ricky,Manning,CB,1,0,0
20020026,Lito,Sheppard,CB,1,0,0
19960044,Tory,James,CB,1,10,0
20000015,Deltha,O'Neal,CB,1,0,0
20040117,Robert,Geathers,DE,1,36,1
20030005,Terence,Newman,CB,1,0,0
20020008,Roy,Williams,S,1,33,0
20020059,Sheldon,Brown,CB,1,33,0
20020026,Lito,Sheppard,CB,1,7,0
19960061,Brian,Dawkins,FS,1,8,0
20020059,Sheldon,Brown,CB,1,0,0
19980142,Ike,Reese,LB,1,15,0
19980142,Ike,Reese,LB,1,3,0
19980072,Jeremiah,Trotter,LB,1,35,0
19940145,Rodney,Harrison,S,1,-1,0
19960086,Tedy,Bruschi,LB,1,0,0
19940145,Rodney,Harrison,S,1,6,0
20040460,Brandon,Haw,CB,1,6,0
20040005,Sean,Taylor,S,1,10,0
19980142,Ike,Reese,LB,1,7,0
20020536,Will,Demps,S,1,0,0
19990073,Joey,Porter,OLB,1,3,0
20030721,Russell,Stuvaints,S,1,-4,0
20030016,Troy,Polamalu,S,1,26,1
19970024,Chad,Scott,CB,1,23,0
20030084,Chris,Crocker,DB,1,20,1
19980137,Jason,Simmons,CB,1,16,0
19980117,Deshea,Townsend,CB,1,39,1
20030125,Ivan,Taylor,CB,1,0,0
20030036,Eugene,Wilson,DB,1,0,0
19940145,Rodney,Harrison,S,1,87,1
20030036,Eugene,Wilson,DB,1,0,0
20030016,Troy,Polamalu,S,1,22,0
19970008,James,Farrior,LB,1,22,0
19960071,Donnie,Abraham,CB,1,0,0
19960058,Reggie,Tongue,SS,1,23,0
20020094,Chris,Hope,S,1,41,0
20030016,Troy,Polamalu,S,1,14,0
19960058,Reggie,Tongue,SS,1,86,1
20000102,David,Barrett,CB,1,24,0
19980117,Deshea,Townsend,CB,1,0,0
19970008,James,Farrior,LB,1,36,0
19960061,Brian,Dawkins,FS,1,32,0
19970008,James,Farrior,LB,1,41,0
19980117,Deshea,Townsend,CB,1,15,0
20030046,Drayton,Florence,CB,1,0,0
20000045,Kenoy,Kennedy,S,1,21,0
19980075,Steve,Foley,LB,1,4,0
20040098,Shaun,Phillips,LB,1,0,0
19950105,Jerry,Wilson,FS,1,0,0
20020074,Joseph,Jefferson,DB,1,0,0
20030046,Drayton,Florence,CB,1,40,0
20010026,Jamar,Fletcher,CB,1,0,0
20030112,Matt,Wilhelm,LB,1,0,0
20000085,Greg,Wesley,S,1,25,0
20030062,Terrence,Kiel,S,1,31,0
19990139,Adrian,Dingle,DE,1,1,0
20030046,Drayton,Florence,CB,1,9,0
19950105,Jerry,Wilson,FS,1,12,0
20040143,Erik,Coleman,S,1,1,0
20020057,Jon,McGraw,FS,1,0,0
19960058,Reggie,Tongue,SS,1,22,0
20010608,Clinton,Hart,S,1,13,0
20030030,Sammy,Davis,CB,1,4,0
20010040,Ken,Lucas,CB,1,39,0
20030011,Marcus,Trufant,CB,1,10,0
20030042,Ken,Hamlin,FS,1,0,0
20030062,Terrence,Kiel,S,1,63,1
19970066,Ronde,Barber,CB,1,0,0
19960098,Donnie,Edwards,LB,1,4,0
20040111,Will,Allen,S,1,0,0
20020005,Quentin,Jammer,CB,1,12,0
19960098,Donnie,Edwards,LB,1,30,1
20010040,Ken,Lucas,CB,1,0,0
20030011,Marcus,Trufant,CB,1,6,0
19980010,Duane,Starks,CB,1,0,0
20040008,DeAngelo,Hall,CB,1,48,1
20030011,Marcus,Trufant,CB,1,31,0
20030042,Ken,Hamlin,FS,1,24,0
20010040,Ken,Lucas,CB,1,0,0
20030042,Ken,Hamlin,FS,1,12,0
20030111,Terrence,McGee,CB,1,0,0
20010083,Brian,Allen,LB,1,21,0
20030011,Marcus,Trufant,CB,1,58,0
20020120,Terreal,Bierria,SS,1,10,0
20030042,Ken,Hamlin,FS,1,12,0
19990115,Antonio,Cochran,DE,1,0,0
20000152,Arturo,Freeman,S,1,0,0
19980044,Patrick,Surtain,CB,1,0,0
20040053,Michael,Boulware,SS,1,63,1
19960151,Steve,Martin,DT,1,0,0
20010040,Ken,Lucas,CB,1,22,0
20020070,Willie,Offord,S,1,0,0
20010040,Ken,Lucas,CB,1,25,0
20030042,Ken,Hamlin,FS,1,0,0
20010040,Ken,Lucas,CB,1,0,0
20010040,Ken,Lucas,CB,1,0,0
20030011,Marcus,Trufant,CB,1,5,0
20020064,Travis,Fisher,CB,1,0,0
20030042,Ken,Hamlin,FS,1,0,0
20010047,Jamie,Winborn,LB,1,1,0
20000086,Jeff,Ulbrich,LB,1,19,0
19960063,Aaron,Beasley,CB,1,85,0
20010021,Nate,Clements,CB,1,0,0
19960036,Lawyer,Milloy,S,1,9,0
20010539,Josh,Stamer,LB,1,0,0
20020073,Will,Witherspoon,LB,1,0,0
19950013,Mark,Fields,LB,1,14,0
19940050,Brentson,Buckner,DT,1,8,0
20040028,Chris,Gamble,CB,1,0,0
20040420,Mike,Adams,CB,1,0,0
20010196,Jimmy,Williams,CB,1,41,0
19980015,Anthony,Simmons,LB,1,23,1
20010145,Jerametrius,Butler,CB,1,10,0
20040005,Sean,Taylor,S,1,30,0
19980239,Ron,Warner,DE,1,39,0
20010483,Antonio,Pierce,LB,1,78,1
19960013,Walt,Harris,CB,1,0,0
20020619,Quentin,Harris,S,1,-1,0
20010069,Eric,Kelly,CB,1,6,0
19910031,Roman,Phifer,LB,1,26,0
20040143,Erik,Coleman,S,1,1,0
20040012,Jonathan,Vilma,LB,1,38,1
20010145,Jerametrius,Butler,CB,1,0,0
19980035,Tony,Parrish,S,1,0,0
20010145,Jerametrius,Butler,CB,1,-1,0
20000040,Ian,Gold,LB,1,31,0
20010145,Jerametrius,Butler,CB,1,0,0
20040005,Sean,Taylor,S,1,-3,0
20010084,Dwight,Smith,S,1,0,0
19980157,Chris,Draft,LB,1,33,0
19980045,Brian,Kelly,CB,1,75,0
20020468,Ryan,Nece,LB,1,2,0
20030119,Colin,Branch,S,1,0,0
20030145,Kindal,Moorehead,DT,1,17,1
19970066,Ronde,Barber,CB,1,23,0
19970066,Ronde,Barber,CB,1,0,0
20010084,Dwight,Smith,S,1,0,0
20020157,Jermaine,Phillips,S,1,0,0
20020468,Ryan,Nece,LB,1,56,1
19990087,Mike,McKenzie,CB,1,0,0
19950028,Derrick,Brooks,LB,1,3,0
20030011,Marcus,Trufant,CB,1,41,0
20040053,Michael,Boulware,SS,1,6,0
19980035,Tony,Parrish,S,1,26,0
19980035,Tony,Parrish,S,1,13,0
20030205,Torrie,Cox,CB,1,55,1
20010060,Andre,Dyson,CB,1,21,0
20030014,Michael,Haynes,DE,1,45,1
20010060,Andre,Dyson,CB,1,0,0
20040056,Madieu,Williams,FS,1,51,1
20010060,Andre,Dyson,CB,1,16,0
19990062,Daylon,McCutcheon,DB,1,4,0
20040427,Akil,Grant,S,1,0,0
20040017,D.J.,Williams,LB,1,10,0
20000030,Keith,Bulluck,LB,1,25,0
19990464,Kelly,Herndon,CB,1,15,0
20010060,Andre,Dyson,CB,1,43,0
20000030,Keith,Bulluck,LB,1,70,1
19980046,Samari,Rolle,CB,1,30,0
20040025,Ahmad,Carroll,CB,1,0,0
20040124,Michael,Waddell,CB,1,0,0
19940012,Aaron,Glenn,CB,1,0,0
20030028,Andre,Woolfolk,CB,1,25,0
20040010,Dunta,Robinson,CB,1,0,0
19980051,Kailee,Wong,LB,1,0,0
19960133,Marcus,Coleman,FS,1,14,0
20000547,Nick,Harper,DB,1,0,0
20030039,Rashean,Mathis,CB,1,21,0
20040124,Michael,Waddell,CB,1,0,0
20000198,Matt,Bowen,S,1,6,0
20010045,Fred,Smoot,CB,1,17,0
19970003,Shawn,Springs,CB,1,12,0
20000145,Todd,Franz,DB,1,22,0
19890005,Deion,Sanders,CB,1,23,0
20020100,Dante,Wesley,CB,1,0,0
